Date,Time,Open,High,Low,Close
2025-07-22,11:18:00,6743.5,6743.5,6743.5,6743.5
2025-07-22,11:21:00,6742.0,6742.0,6742.0,6742.0
2025-07-22,11:23:00,6741.5,6741.5,6741.5,6741.5
2025-07-22,11:27:00,6741.0,6741.0,6741.0,6741.0
2025-07-22,11:33:00,6741.0,6742.0,6741.0,6742.0
2025-07-22,11:35:00,6739.5,6739.5,6739.5,6739.5
2025-07-22,11:36:00,6740.5,6740.5,6739.0,6739.0
2025-07-22,11:50:00,6735.0,6735.0,6735.0,6735.0
2025-07-22,11:53:00,6720.0,6720.0,6714.0,6714.0
2025-07-22,11:55:00,6712.5,6800.0,6712.5,6770.5
2025-07-22,11:56:00,6780.0,6799.5,6780.0,6799.5
2025-07-22,11:57:00,6803.5,6803.5,6788.5,6788.5
2025-07-22,11:58:00,6795.5,6795.5,6795.5,6795.5
2025-07-22,11:59:00,6783.0,6783.0,6783.0,6783.0
2025-07-22,12:01:00,6786.0,6786.0,6780.0,6780.0
2025-07-22,12:02:00,6786.5,6786.5,6786.5,6786.5
2025-07-22,12:03:00,6790.5,6790.5,6790.5,6790.5
2025-07-22,12:04:00,6781.5,6781.5,6781.5,6781.5
2025-07-22,12:05:00,6775.5,6775.5,6775.5,6775.5
2025-07-22,12:06:00,6783.0,6783.0,6783.0,6783.0
2025-07-22,12:10:00,6782.0,6783.5,6782.0,6783.5
2025-07-22,12:11:00,6788.5,6788.5,6788.5,6788.5
2025-07-22,12:13:00,6794.0,6794.0,6794.0,6794.0
2025-07-22,12:14:00,6785.5,6785.5,6785.5,6785.5
2025-07-22,12:15:00,6784.5,6784.5,6784.5,6784.5
2025-07-22,12:17:00,6782.0,6782.5,6782.0,6782.5
2025-07-22,12:31:00,6780.5,6780.5,6780.5,6780.5
2025-07-22,12:32:00,6783.5,6783.5,6783.5,6783.5
2025-07-22,12:34:00,6785.0,6785.0,6785.0,6785.0
2025-07-22,12:35:00,6790.5,6790.5,6790.5,6790.5
2025-07-22,12:36:00,6797.0,6797.0,6796.0,6797.0
2025-07-22,12:37:00,6796.5,6796.5,6796.5,6796.5
2025-07-22,12:40:00,6790.0,6790.0,6790.0,6790.0
2025-07-22,12:44:00,6783.5,6783.5,6783.5,6783.5
2025-07-22,12:46:00,6779.0,6783.0,6779.0,6783.0
2025-07-22,13:01:00,6791.0,6791.0,6791.0,6791.0
2025-07-22,13:04:00,6781.0,6786.5,6780.0,6780.0
2025-07-22,13:05:00,6780.0,6780.0,6780.0,6780.0
2025-07-22,13:06:00,6766.0,6771.0,6766.0,6771.0
2025-07-22,13:07:00,6775.5,6775.5,6775.5,6775.5
2025-07-22,13:08:00,6773.0,6773.0,6772.0,6772.0
2025-07-22,13:10:00,6763.5,6763.5,6763.5,6763.5
2025-07-22,13:11:00,6760.5,6765.5,6760.5,6765.5
2025-07-22,13:12:00,6768.0,6768.0,6768.0,6768.0
2025-07-22,13:14:00,6771.5,6771.5,6771.5,6771.5
2025-07-22,13:15:00,6771.0,6771.0,6771.0,6771.0
2025-07-22,13:16:00,6766.5,6766.5,6766.5,6766.5
2025-07-22,13:18:00,6768.0,6768.0,6768.0,6768.0
2025-07-22,13:19:00,6763.0,6763.0,6763.0,6763.0
2025-07-22,13:20:00,6759.5,6759.5,6759.5,6759.5
2025-07-22,13:22:00,6765.0,6765.0,6765.0,6765.0
2025-07-22,13:23:00,6766.0,6769.5,6766.0,6769.5
2025-07-22,13:24:00,6766.0,6766.0,6766.0,6766.0
2025-07-22,13:26:00,6765.0,6765.0,6765.0,6765.0
2025-07-22,13:27:00,6759.5,6762.5,6759.5,6762.5
2025-07-22,13:29:00,6768.5,6768.5,6768.5,6768.5
2025-07-22,13:34:00,6772.5,6784.0,6772.5,6784.0
2025-07-22,13:37:00,6778.5,6778.5,6778.5,6778.5
2025-07-22,13:39:00,6773.0,6773.0,6773.0,6773.0
2025-07-22,13:45:00,6774.5,6774.5,6769.0,6769.0
2025-07-22,13:50:00,6763.5,6763.5,6763.5,6763.5
2025-07-22,13:54:00,6773.0,6773.0,6773.0,6773.0
2025-07-22,14:02:00,6772.5,6772.5,6772.5,6772.5
2025-07-22,14:03:00,6771.0,6771.0,6771.0,6771.0
2025-07-22,14:17:00,6779.0,6779.0,6779.0,6779.0
2025-07-22,14:19:00,6768.0,6768.0,6768.0,6768.0
2025-07-22,14:21:00,6777.5,6778.0,6777.5,6778.0
2025-07-22,14:25:00,6779.0,6782.0,6779.0,6782.0
2025-07-22,14:27:00,6785.5,6785.5,6780.5,6780.5
2025-07-22,14:31:00,6796.5,6796.5,6796.5,6796.5
2025-07-22,14:38:00,6783.5,6783.5,6783.5,6783.5
2025-07-22,14:39:00,6790.5,6790.5,6784.0,6784.0
2025-07-22,14:46:00,6788.0,6788.0,6781.5,6781.5
2025-07-22,14:48:00,6776.0,6776.0,6776.0,6776.0
2025-07-22,14:51:00,6775.0,6775.0,6775.0,6775.0
2025-07-22,14:52:00,6775.0,6787.0,6775.0,6787.0
2025-07-22,14:54:00,6787.0,6787.0,6787.0,6787.0
2025-07-22,14:55:00,6787.5,6787.5,6787.5,6787.5
2025-07-22,14:58:00,6780.0,6787.5,6780.0,6787.5
2025-07-22,14:59:00,6775.5,6775.5,6775.5,6775.5
2025-07-22,15:15:00,6771.0,6771.0,6771.0,6771.0
2025-07-22,15:19:00,6771.0,6771.0,6771.0,6771.0
2025-07-22,15:20:00,6775.5,6775.5,6770.5,6770.5
2025-07-22,15:21:00,6775.5,6775.5,6770.0,6770.0
2025-07-22,15:22:00,6767.0,6767.0,6767.0,6767.0
2025-07-22,15:23:00,6767.5,6775.0,6767.5,6775.0
2025-07-22,15:24:00,6767.0,6767.0,6767.0,6767.0
2025-07-22,15:25:00,6774.0,6774.0,6771.0,6771.0
2025-07-22,15:26:00,6769.0,6769.0,6769.0,6769.0
2025-07-22,15:27:00,6769.0,6775.0,6769.0,6775.0
2025-07-22,15:28:00,6767.0,6769.0,6766.0,6766.0
2025-07-22,15:29:00,6787.5,6798.5,6778.0,6778.0
2025-07-23,09:15:00,6700.0,6700.0,6700.0,6700.0
2025-07-23,09:16:00,6740.0,6754.5,6734.5,6754.5
2025-07-23,09:17:00,6760.5,6763.5,6760.5,6763.5
2025-07-23,09:19:00,6760.0,6760.0,6760.0,6760.0
2025-07-23,09:20:00,6761.5,6761.5,6761.5,6761.5
2025-07-23,09:27:00,6763.0,6763.0,6763.0,6763.0
2025-07-23,09:28:00,6750.5,6750.5,6750.5,6750.5
2025-07-23,09:35:00,6750.5,6750.5,6750.5,6750.5
2025-07-23,09:37:00,6724.0,6724.0,6724.0,6724.0
2025-07-23,09:39:00,6718.0,6718.0,6718.0,6718.0
2025-07-23,09:42:00,6722.5,6722.5,6722.5,6722.5
2025-07-23,09:44:00,6722.0,6722.0,6705.0,6705.0
2025-07-23,09:45:00,6722.5,6730.5,6722.5,6730.5
2025-07-23,09:46:00,6716.5,6740.5,6716.5,6740.5
2025-07-23,09:50:00,6725.5,6725.5,6725.5,6725.5
2025-07-23,09:51:00,6719.5,6719.5,6719.5,6719.5
2025-07-23,09:53:00,6721.0,6721.0,6721.0,6721.0
2025-07-23,10:06:00,6734.0,6734.0,6734.0,6734.0
2025-07-23,10:07:00,6735.5,6735.5,6735.5,6735.5
2025-07-23,10:09:00,6734.0,6734.0,6734.0,6734.0
2025-07-23,10:11:00,6728.0,6728.0,6728.0,6728.0
2025-07-23,10:12:00,6732.5,6732.5,6732.5,6732.5
